VTABLE 0x101059a4 (bodygib):
  [0] 0x100cc7d0 FUN_100cc7d0
  [1] 0x100cca10 FUN_100cca10
  [2] 0x100cba70 FUN_100cba70
  [3] 0x100279d0 FUN_100279d0
  [4] 0x10027a00 FUN_10027a00
  [5] 0x10001390 FUN_10001390
  [6] 0x100013a0 FUN_100013a0
  [7] 0x10008640 FUN_10008640
  [8] 0x100cc8e0 FUN_100cc8e0
  [9] 0x100013c0 FUN_100013c0
  [10] 0x1000ef80 FUN_1000ef80
  [11] 0x100cc8f0 FUN_100cc8f0
  [12] 0x1000d7d0 FUN_1000d7d0
  [13] 0x1000c950 FUN_1000c950
  [14] 0x1000a320 FUN_1000a320

VTABLE 0x10105310 (cactus):
  [0] 0x100cc3c0 FUN_100cc3c0
  [1] 0x100cc4d0 FUN_100cc4d0
  [2] 0x100cba70 FUN_100cba70
  [3] 0x100279d0 FUN_100279d0
  [4] 0x10027a00 FUN_10027a00
  [5] 0x10001390 FUN_10001390
  [6] 0x100013a0 FUN_100013a0
  [7] 0x10008640 FUN_10008640
  [8] 0x100cc4c0 FUN_100cc4c0
  [9] 0x100013c0 FUN_100013c0
  [10] 0x1000ef80 FUN_1000ef80
  [11] 0x100ce3c0 FUN_100ce3c0
  [12] 0x1000d7d0 FUN_1000d7d0
  [13] 0x1000c950 FUN_1000c950
  [14] 0x1000a320 FUN_1000a320

VTABLE 0x10104824 (cam):
  [0] 0x100cb300 FUN_100cb300
  [1] 0x100cb2f0 FUN_100cb2f0
  [2] 0x1002cb30 FUN_1002cb30
  [3] 0x100cb290 FUN_100cb290
  [4] 0x100cb2c0 FUN_100cb2c0
  [5] 0x10001390 FUN_10001390
  [6] 0x100013a0 FUN_100013a0
  [7] 0x10008640 FUN_10008640
  [8] 0x100013b0 FUN_100013b0
  [9] 0x100013c0 FUN_100013c0
  [10] 0x1000ef80 FUN_1000ef80
  [11] 0x1000d820 FUN_1000d820
  [12] 0x1000d7d0 FUN_1000d7d0
  [13] 0x1000c950 FUN_1000c950
  [14] 0x1000a320 FUN_1000a320

VTABLE 0x10105770 (gutspile):
  [0] 0x100cc7d0 FUN_100cc7d0
  [1] 0x100cc980 FUN_100cc980
  [2] 0x100cba70 FUN_100cba70
  [3] 0x100279d0 FUN_100279d0
  [4] 0x10027a00 FUN_10027a00
  [5] 0x10001390 FUN_10001390
  [6] 0x100013a0 FUN_100013a0
  [7] 0x10008640 FUN_10008640
  [8] 0x100cc8e0 FUN_100cc8e0
  [9] 0x100013c0 FUN_100013c0
  [10] 0x1000ef80 FUN_1000ef80
  [11] 0x100cc8f0 FUN_100cc8f0
  [12] 0x1000d7d0 FUN_1000d7d0
  [13] 0x1000c950 FUN_1000c950
  [14] 0x1000a320 FUN_1000a320

VTABLE 0x10105bd8 (hatgib):
  [0] 0x100cc7d0 FUN_100cc7d0
  [1] 0x100ccaa0 FUN_100ccaa0
  [2] 0x100cba70 FUN_100cba70
  [3] 0x100279d0 FUN_100279d0
  [4] 0x10027a00 FUN_10027a00
  [5] 0x10001390 FUN_10001390
  [6] 0x100013a0 FUN_100013a0
  [7] 0x10008640 FUN_10008640
  [8] 0x100cc8e0 FUN_100cc8e0
  [9] 0x100013c0 FUN_100013c0
  [10] 0x1000ef80 FUN_1000ef80
  [11] 0x100cc8f0 FUN_100cc8f0
  [12] 0x1000d7d0 FUN_1000d7d0
