VTABLE 0x100f6420 (random_speaker):
  [0] 0x10066830 FUN_10066830
  [1] 0x10066670 FUN_10066670
  [2] 0x10066690 FUN_10066690
  [3] 0x100665f0 FUN_100665f0
  [4] 0x10066620 FUN_10066620
  [5] 0x10001390 FUN_10001390
  [6] 0x100013a0 FUN_100013a0
  [7] 0x10008640 FUN_10008640
  [8] 0x100013b0 FUN_100013b0
  [9] 0x100013c0 FUN_100013c0
  [10] 0x1000ee80 FUN_1000ee80
  [11] 0x10007e60 FUN_10007e60
  [12] 0x10007df0 FUN_10007df0
  [13] 0x100082c0 FUN_100082c0
  [14] 0x10004350 FUN_10004350
  [15] 0x1000f960 FUN_1000f960
  [16] 0x100013d0 FUN_100013d0
  [17] 0x10004360 FUN_10004360
  [18] 0x100013e0 FUN_100013e0
  [19] 0x10004370 FUN_10004370
  [20] 0x100013f0 FUN_100013f0
  [21] 0x10001400 FUN_10001400
  [22] 0x10001410 FUN_10001410
  [23] 0x10001420 FUN_10001420
  [24] 0x10001430 FUN_10001430
  [25] 0x10004490 FUN_10004490
  [26] 0x100044a0 FUN_100044a0
  [27] 0x10001440 FUN_10001440
  [28] 0x10008870 FUN_10008870
  [29] 0x10001450 FUN_10001450
  [30] 0x10001460 FUN_10001460
  [31] 0x10001470 FUN_10001470
  [32] 0x10001480 FUN_10001480
  [33] 0x10001490 FUN_10001490
  [34] 0x10004550 FUN_10004550
  [35] 0x100014a0 FUN_100014a0
  [36] 0x100014c0 FUN_100014c0
  [37] 0x100014f0 FUN_100014f0
  [38] 0x10008750 FUN_10008750
  [39] 0x10001560 FUN_10001560
  [40] 0x10001570 FUN_10001570
  [41] 0x10001580 FUN_10001580
  [42] 0x10001590 FUN_10001590
  [43] 0x100082f0 FUN_100082f0
  [44] 0x100015a0 FUN_100015a0

VTABLE 0x100f65f0 (random_trigger):
  [0] 0x10066d70 FUN_10066d70
  [1] 0x10004330 FUN_10004330
  [2] 0x10066c00 FUN_10066c00
  [3] 0x10066b70 FUN_10066b70
  [4] 0x10066ba0 FUN_10066ba0
  [5] 0x10001390 FUN_10001390
  [6] 0x100013a0 FUN_100013a0
  [7] 0x10008640 FUN_10008640
  [8] 0x100013b0 FUN_100013b0
  [9] 0x100013c0 FUN_100013c0
  [10] 0x1000ee80 FUN_1000ee80
  [11] 0x10007e60 FUN_10007e60
  [12] 0x10007df0 FUN_10007df0
  [13] 0x100082c0 FUN_100082c0
  [14] 0x10004350 FUN_10004350
  [15] 0x1000f960 FUN_1000f960
  [16] 0x100013d0 FUN_100013d0
  [17] 0x10004360 FUN_10004360
  [18] 0x100013e0 FUN_100013e0
  [19] 0x10004370 FUN_10004370
  [20] 0x100013f0 FUN_100013f0
  [21] 0x10001400 FUN_10001400
  [22] 0x10001410 FUN_10001410
  [23] 0x10001420 FUN_10001420
  [24] 0x10001430 FUN_10001430
  [25] 0x10004490 FUN_10004490
  [26] 0x100044a0 FUN_100044a0
  [27] 0x10001440 FUN_10001440
  [28] 0x10008870 FUN_10008870
  [29] 0x10001450 FUN_10001450
  [30] 0x10001460 FUN_10001460
  [31] 0x10001470 FUN_10001470
  [32] 0x10001480 FUN_10001480
  [33] 0x10001490 FUN_10001490
  [34] 0x10004550 FUN_10004550
  [35] 0x100014a0 FUN_100014a0
  [36] 0x100014c0 FUN_100014c0
  [37] 0x100014f0 FUN_100014f0
  [38] 0x10008750 FUN_10008750
  [39] 0x10001560 FUN_10001560
  [40] 0x10001570 FUN_10001570
  [41] 0x10001580 FUN_10001580
  [42] 0x10001590 FUN_10001590
  [43] 0x100082f0 FUN_100082f0
  [44] 0x100015a0 FUN_100015a0

VTABLE 0x100f68c4 (sphere_explosion):
  [0] 0x100678b0 FUN_100678b0
  [1] 0x10067870 FUN_10067870
  [2] 0x10067a40 FUN_10067a40
  [3] 0x10067800 FUN_10067800
  [4] 0x10067830 FUN_10067830
  [5] 0x10001390 FUN_10001390
  [6] 0x100013a0 FUN_100013a0
  [7] 0x10008640 FUN_10008640
  [8] 0x100013b0 FUN_100013b0
  [9] 0x100013c0 FUN_100013c0
  [10] 0x1000ee80 FUN_1000ee80
  [11] 0x10007e60 FUN_10007e60
  [12] 0x10007df0 FUN_10007df0
  [13] 0x100082c0 FUN_100082c0
  [14] 0x10004350 FUN_10004350
  [15] 0x1000f960 FUN_1000f960
  [16] 0x100013d0 FUN_100013d0
  [17] 0x10004360 FUN_10004360
  [18] 0x100013e0 FUN_100013e0
  [19] 0x10004370 FUN_10004370
  [20] 0x100013f0 FUN_100013f0
  [21] 0x10001400 FUN_10001400
  [22] 0x10001410 FUN_10001410
  [23] 0x10001420 FUN_10001420
  [24] 0x10001430 FUN_10001430
  [25] 0x10004490 FUN_10004490
  [26] 0x100044a0 FUN_100044a0
  [27] 0x10001440 FUN_10001440
  [28] 0x10008870 FUN_10008870
  [29] 0x10001450 FUN_10001450
  [30] 0x10001460 FUN_10001460
  [31] 0x10001470 FUN_10001470
  [32] 0x10001480 FUN_10001480
  [33] 0x10001490 FUN_10001490
  [34] 0x10004550 FUN_10004550
  [35] 0x100014a0 FUN_100014a0
  [36] 0x100014c0 FUN_100014c0
  [37] 0x100014f0 FUN_100014f0
  [38] 0x10008750 FUN_10008750
  [39] 0x10001560 FUN_10001560
  [40] 0x10001570 FUN_10001570
  [41] 0x10001580 FUN_10001580
  [42] 0x10001590 FUN_10001590
  [43] 0x100082f0 FUN_100082f0
  [44] 0x100015a0 FUN_100015a0

