VTABLE 0x101042e0 (xenomeshot):
  [0] 0x100c9530 FUN_100c9530
  [1] 0x100c9520 FUN_100c9520
  [2] 0x10004340 FUN_10004340
  [3] 0x10008340 FUN_10008340
  [4] 0x10008380 FUN_10008380
  [5] 0x10001390 FUN_10001390
  [6] 0x100013a0 FUN_100013a0
  [7] 0x10008640 FUN_10008640
  [8] 0x100013b0 FUN_100013b0
  [9] 0x100013c0 FUN_100013c0
  [10] 0x1000ee80 FUN_1000ee80
  [11] 0x10007e60 FUN_10007e60
  [12] 0x10007df0 FUN_10007df0
  [13] 0x100082c0 FUN_100082c0
  [14] 0x10004350 FUN_10004350
  [15] 0x1000f960 FUN_1000f960
  [16] 0x100013d0 FUN_100013d0
  [17] 0x10004360 FUN_10004360
  [18] 0x100013e0 FUN_100013e0
  [19] 0x10004370 FUN_10004370
  [20] 0x100013f0 FUN_100013f0
  [21] 0x10001400 FUN_10001400
  [22] 0x10001410 FUN_10001410
  [23] 0x10001420 FUN_10001420
  [24] 0x10001430 FUN_10001430
  [25] 0x10004490 FUN_10004490
  [26] 0x100044a0 FUN_100044a0
  [27] 0x10001440 FUN_10001440
  [28] 0x10008870 FUN_10008870
  [29] 0x10001450 FUN_10001450
  [30] 0x10001460 FUN_10001460
  [31] 0x10001470 FUN_10001470
  [32] 0x10001480 FUN_10001480
  [33] 0x10001490 FUN_10001490
  [34] 0x10004550 FUN_10004550
  [35] 0x100014a0 FUN_100014a0
  [36] 0x100014c0 FUN_100014c0
  [37] 0x100014f0 FUN_100014f0
  [38] 0x10008750 FUN_10008750
  [39] 0x10001560 FUN_10001560
  [40] 0x10001570 FUN_10001570
  [41] 0x10001580 FUN_10001580
  [42] 0x10001590 FUN_10001590
  [43] 0x100082f0 FUN_100082f0
  [44] 0x100015a0 FUN_100015a0
  [45] 0x100015b0 FUN_100015b0
  [46] 0x100015d0 FUN_100015d0
  [47] 0x100015f0 FUN_100015f0
  [48] 0x10001620 FUN_10001620
  [49] 0x10001630 FUN_10001630
  [50] 0x10004930 FUN_10004930
  [51] 0x10001640 FUN_10001640
  [52] 0x100016b0 FUN_100016b0
  [53] 0x100016f0 FUN_100016f0
  [54] 0x10004940 FUN_10004940
  [55] 0x10001730 FUN_10001730
  [56] 0x1000ee00 FUN_1000ee00
  [57] 0x1000ecd0 FUN_1000ecd0
  [58] 0x100cad30 FUN_100cad30
  [59] 0x100cace0 FUN_100cace0
  [60] 0x1002cb30 FUN_1002cb30
  [61] 0x100c9980 FUN_100c9980
  [62] 0x100c99b0 FUN_100c99b0
  [63] 0x10001390 FUN_10001390
  [64] 0x100013a0 FUN_100013a0
  [65] 0x10008640 FUN_10008640
  [66] 0x100c9bd0 FUN_100c9bd0
  [67] 0x100013c0 FUN_100013c0
  [68] 0x1000ef80 FUN_1000ef80
  [69] 0x1000d820 FUN_1000d820
  [70] 0x1000d7d0 FUN_1000d7d0
  [71] 0x100520c0 FUN_100520c0
  [72] 0x1000a320 FUN_1000a320
  [73] 0x1000fb60 FUN_1000fb60
  [74] 0x100013d0 FUN_100013d0
  [75] 0x10001790 FUN_10001790
  [76] 0x10073ba0 FUN_10073ba0
  [77] 0x10001750 FUN_10001750
  [78] 0x100013f0 FUN_100013f0
  [79] 0x10001400 FUN_10001400
  [80] 0x10001410 FUN_10001410
  [81] 0x10001420 FUN_10001420
  [82] 0x10001430 FUN_10001430
  [83] 0x10001760 FUN_10001760
  [84] 0x10001940 FUN_10001940
  [85] 0x10001440 FUN_10001440
  [86] 0x10008870 FUN_10008870
  [87] 0x10001450 FUN_10001450
  [88] 0x10001460 FUN_10001460
  [89] 0x10001470 FUN_10001470

